Dia, Pontuacao
2019-01-01,10
2019-01-02,0
2019-01-03,0
2019-01-04,6
2019-01-05,0
2019-01-06,0
2019-01-07,6
2019-01-08,0
2019-01-09,0
2019-01-10,6
2019-01-11,6
2019-01-12,0
2019-01-13,0
2019-01-14,0
2019-01-15,0
2019-01-16,0
2019-01-17,0
2019-01-18,0
2019-01-19,0
2019-01-20,0
2019-01-21,0
2019-01-22,0
2019-01-23,0
2019-01-24,0
2019-01-25,25
2019-01-26,100
2019-01-27,57
2019-01-28,71
2019-01-29,41
2019-01-30,18
2019-01-31,12
2019-02-01,13
2019-02-02,15
2019-02-03,15
2019-02-04,0
2019-02-05,29
2019-02-06,11
2019-02-07,6
2019-02-08,55
2019-02-09,39
